Channel Id,Channel Url,Channel Title
UC-5QQuejPrfzryw1NDsS6zg,http://www.youtube.com/channel/UC-5QQuejPrfzryw1NDsS6zg,structurefree
UC-TfuZW3tTCEuyGFiczr-Kw,http://www.youtube.com/channel/UC-TfuZW3tTCEuyGFiczr-Kw,Binibining Beats
UC-ZQaezPlUTe94-7buWtIfA,http://www.youtube.com/channel/UC-ZQaezPlUTe94-7buWtIfA,studyquill
UC-ZaFVre7Koir_VcaM2LpNA,http://www.youtube.com/channel/UC-ZaFVre7Koir_VcaM2LpNA,MihranTV
UC-g0gSStENkYPXFRsKrlvyA,http://www.youtube.com/channel/UC-g0gSStENkYPXFRsKrlvyA,The English Coach
UC-ga3onzHSJFAGsIebtVeBg,http://www.youtube.com/channel/UC-ga3onzHSJFAGsIebtVeBg,Lavendaire
UC-yTB2bUcin9mmah36sXiYA,http://www.youtube.com/channel/UC-yTB2bUcin9mmah36sXiYA,TEDxYouth
UC0G3ShKXy9CnfgyinX89kIg,http://www.youtube.com/channel/UC0G3ShKXy9CnfgyinX89kIg,MYLEE DANCE
UC0KjIJ7bcyqXgZV8u6IEJiA,http://www.youtube.com/channel/UC0KjIJ7bcyqXgZV8u6IEJiA,Manas Patnaik
UC10UTtTNM-qNzexrHti33Ug,http://www.youtube.com/channel/UC10UTtTNM-qNzexrHti33Ug,BOKARO RIDER'S
UC2-vrGETGeMRsOp26ASqMCA,http://www.youtube.com/channel/UC2-vrGETGeMRsOp26ASqMCA,Lucie Fink
UC2TAp3l14YZvpIJ7fDct6xQ,http://www.youtube.com/channel/UC2TAp3l14YZvpIJ7fDct6xQ,vision daudnagar
UC2UXDak6o7rBm23k3Vv5dww,http://www.youtube.com/channel/UC2UXDak6o7rBm23k3Vv5dww,Tina Huang
UC3KEoMzNz8eYnwBC34RaKCQ,http://www.youtube.com/channel/UC3KEoMzNz8eYnwBC34RaKCQ,Simone Giertz
UC4PfG7PnBDYoFKY8E35hx3Q,http://www.youtube.com/channel/UC4PfG7PnBDYoFKY8E35hx3Q,DJD Editzz
UC59K-uG2A5ogwIrHw4bmlEg,http://www.youtube.com/channel/UC59K-uG2A5ogwIrHw4bmlEg,Telusko
UC5W8kZaY_u59fwgtjnLrBXA,http://www.youtube.com/channel/UC5W8kZaY_u59fwgtjnLrBXA,Kanan Gill
UC6cLPyfsvot0X0JNlkEJKrA,http://www.youtube.com/channel/UC6cLPyfsvot0X0JNlkEJKrA,WeldNotes.com
UC6ktP3PLU5sAJxN9Rb0TALg,http://www.youtube.com/channel/UC6ktP3PLU5sAJxN9Rb0TALg,Mike Shake
UC7IcJI8PUf5Z3zKxnZvTBog,http://www.youtube.com/channel/UC7IcJI8PUf5Z3zKxnZvTBog,The School of Life
UC7SNbNsrnJQ36F3pJTiPoMg,http://www.youtube.com/channel/UC7SNbNsrnJQ36F3pJTiPoMg,Ragini Silai center
UC7WsKnXqYUee4aZjrniuFvw,http://www.youtube.com/channel/UC7WsKnXqYUee4aZjrniuFvw,LifeOfTheMills
